JobID|JobName|State|ExitCode|Partition|NodeList|ReqTRES|AllocTRES|Submit|Start|End|Planned|Elapsed|ElapsedRaw|TotalCPU|CPUTimeRAW|MaxRSS|MaxVMSize|AveCPU|MaxDiskRead|MaxDiskWrite|ConsumedEnergy
140285_2.batch|batch|RUNNING|0:0||dscog007||cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-31T07:54:24|2026-08-31T07:54:24|Unknown||00:00:15|15|00:00:00|120||||||0
140285_3|csp-mechanism|RUNNING|0:0|gpu_7day|dscog007|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-31T07:54:23|2026-08-31T07:54:24|Unknown|00:00:01|00:00:15|15|00:00:00|120||||||
140285_3.batch|batch|RUNNING|0:0||dscog007||cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-31T07:54:24|2026-08-31T07:54:24|Unknown||00:00:15|15|00:00:00|120||||||0
140285_4|csp-mechanism|RUNNING|0:0|gpu_7day|dscog010|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-31T07:54:23|2026-08-31T07:54:24|Unknown|00:00:01|00:00:15|15|00:00:00|120||||||
140285_4.batch|batch|RUNNING|0:0||dscog010||cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-31T07:54:24|2026-08-31T07:54:24|Unknown||00:00:15|15|00:00:00|120||||||0
140285_5|csp-mechanism|RUNNING|0:0|gpu_7day|dscog010|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-31T07:54:23|2026-08-31T07:54:24|Unknown|00:00:01|00:00:15|15|00:00:00|120||||||
140285_5.batch|batch|RUNNING|0:0||dscog010||cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-31T07:54:24|2026-08-31T07:54:24|Unknown||00:00:15|15|00:00:00|120||||||0
140285_6|csp-mechanism|RUNNING|0:0|gpu_7day|dscog011|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-31T07:54:23|2026-08-31T07:54:24|Unknown|00:00:01|00:00:15|15|00:00:00|120||||||
140285_6.batch|batch|RUNNING|0:0||dscog011||cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-31T07:54:24|2026-08-31T07:54:24|Unknown||00:00:15|15|00:00:00|120||||||0
140285_7|csp-mechanism|RUNNING|0:0|gpu_7day|dscog011|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-31T07:54:23|2026-08-31T07:54:24|Unknown|00:00:01|00:00:15|15|00:00:00|120||||||
140285_7.batch|batch|RUNNING|0:0||dscog011||cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-31T07:54:24|2026-08-31T07:54:24|Unknown||00:00:15|15|00:00:00|120||||||0
140285_[8-23%8]|csp-mechanism|PENDING|0:0|gpu_7day|None assigned|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1||2026-08-31T07:54:23|Unknown|Unknown|00:00:00|00:00:00|0|00:00:00|0||||||0
